20240602	14:54:25	a54a3b32-aef1-4444-a58f-e085baffb90f	[6/2/2024, 2:54:25 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	14:54:25	8d0e013c-9a0d-49b8-8020-31dcdd20ccbd	[6/2/2024, 2:54:25 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:54:26	bce00f8c-0beb-4f29-a30b-431728572ad0	[6/2/2024, 2:54:26 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	14:54:26	6dbbfd79-a5a6-428c-b8a3-fabe95d5af47	[6/2/2024, 2:54:26 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:54:26	72efc168-b38a-4dce-ace2-9baaae08a32c	[6/2/2024, 2:54:26 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	14:54:27	ba981762-c5e9-43ce-a6f4-0eef291df504	[6/2/2024, 2:54:27 PM]	GET	undefined	/new-page
20240602	14:54:27	d8769585-4b07-4ce5-a2ca-1f30145f1c54	[6/2/2024, 2:54:27 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	14:54:27	1beed88d-2f70-4ed9-9c66-317c245107ac	[6/2/2024, 2:54:27 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	14:54:27	fadf83ae-5ff1-4f4d-a390-f782f4a1ff0c	[6/2/2024, 2:54:27 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	14:54:27	33ac7e01-6eb8-4e92-a98d-97bdcaf5ac69	[6/2/2024, 2:54:27 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	14:54:27	db0c33fe-dddc-42a3-a08a-19de6cc67027	[6/2/2024, 2:54:27 PM]	GET	undefined	/img/img1.jpg
20240602	14:54:27	3935effa-03c9-4e33-a0aa-adbcadbdb50e	[6/2/2024, 2:54:27 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:54:27	2d709124-9bf7-46f4-8562-851a72f6134c	[6/2/2024, 2:54:27 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:54:27	d378cc86-3709-4846-a075-2d6fef352ce1	[6/2/2024, 2:54:27 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	14:54:27	04ee47d8-54be-459e-81e4-84d96fcc504f	[6/2/2024, 2:54:27 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	14:56:10	db955f98-d9f3-4d9e-870a-4ec4d8db1553	[6/2/2024, 2:56:10 PM]	GET	undefined	/
20240602	14:56:10	48e81511-6e56-432e-bbce-d5b3583057a2	[6/2/2024, 2:56:10 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	14:56:10	e5ca17e0-0cbd-44a6-9dfa-cfcd09774835	[6/2/2024, 2:56:10 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	14:56:10	0ae7d257-06f5-4110-a038-672b643bfd36	[6/2/2024, 2:56:10 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	14:56:10	e7c03065-1e8a-4e18-943e-918e8e192478	[6/2/2024, 2:56:10 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	14:56:23	4cb67b23-f701-42c3-b4d7-6ffa8d113e25	[6/2/2024, 2:56:23 PM]	GET	undefined	/new-page
